Gesture ID,Label,Timestep,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z
4,Hai,44,"-5,86101","0,79966","-11,36049","-5,78304","-4,70626","-0,22969"
4,Hai,45,"-4,01986","-2,61207","-5,21936","-7,71515","-4,89811","0,24754"
4,Hai,46,"-1,43413","-5,05177","-1,78847","-8,41542","-4,62339","0,93022"
4,Hai,47,"1,36709","-4,52265","4,69982","-8,20598","-3,99347","1,60251"
4,Hai,48,"1,20668","-3,05021","10,65659","-7,23392","-3,21807","1,84072"
4,Hai,49,"1,54905","-1,28808","22,98434","-5,35909","-4,09873","1,20015"
4,Hai,50,"4,01268","-1,42216","28,71366","-2,46158","-2,70406","0,37411"
4,Hai,51,"4,85305","-1,96085","26,89167","1,6907","0,45538","-0,74023"
4,Hai,52,"0,43335","-1,37427","18,64365","4,34281","3,15838","-1,26516"
4,Hai,53,"-2,91614","-2,06141","9,54568","6,05723","3,53569","-1,75359"
4,Hai,54,"-2,57856","-3,16513","3,66792","7,48866","2,8213","-2,36725"
4,Hai,55,"-0,77093","-3,31836","-1,62327","8,15482","3,65533","-2,32062"
4,Hai,56,"-2,04225","-1,8172","-4,44843","8,11938","4,96713","-2,05176"
4,Hai,57,"-8,76278","1,68791","-15,24388","6,52433","5,51631","-1,56174"
4,Hai,58,"-11,2743","2,43011","-19,39303","3,63641","2,21191","-0,95953"
4,Hai,59,"-13,36443","3,2202","-22,46479","-0,11884","-0,52999","-0,15855"
4,Hai,60,"-9,27274","2,66953","-15,66047","-3,40033","-2,59081","0,59021"
5,Hai,1,"-5,37259","8,08522","-4,2928","-0,16947","-0,24754","0,04024"
5,Hai,2,"-5,48033","8,15705","-4,52025","-0,2995","-0,63178","0,07834"
5,Hai,3,"-5,4923","8,2169","-4,39815","-0,47004","-0,98298","0,10285"
5,Hai,4,"-5,40611","8,27197","-4,06535","-0,65949","-1,09996","0,12044"
5,Hai,5,"-5,31273","8,15465","-3,88818","-0,83589","-1,09276","0,15535"
5,Hai,6,"-5,35104","8,01579","-3,7972","-1,02508","-1,05572","0,15508"
5,Hai,7,"-5,14035","7,85538","-4,97036","-1,22946","-1,7416","0,14389"
5,Hai,8,"-5,06852","7,75003","-4,2138","-1,64994","-2,56337","0,22862"
5,Hai,9,"-5,36541","7,00783","-5,43244","-2,28678","-2,26147","0,24994"
5,Hai,10,"-5,81312","5,14035","-5,75566","-3,10962","-2,47171","0,35839"
5,Hai,11,"-5,11401","2,28886","-3,87142","-4,61966","-1,88149","0,71732"
5,Hai,12,"-3,08613","-1,09415","-0,87867","-6,21364","-1,23772","1,20548"
5,Hai,13,"-1,04387","-2,91614","8,00861","-6,97412","-1,42851","1,73813"
5,Hai,14,"0,73023","-4,48673","15,68441","-6,93096","-1,41358","1,92146"
5,Hai,15,"4,7477","-5,86819","24,44959","-4,15229","-2,6116","1,99714"
5,Hai,16,"6,74686","-0,84036","32,63536","0,08474","-2,38857","0,69147"
5,Hai,17,"4,72855","0,43574","23,09926","3,25058","0,91796","-1,75732"
5,Hai,18,"0,72544","-1,1157","14,09706","5,23865","2,11838","-3,24311"
5,Hai,19,"-1,97043","-2,40617","6,90967","6,70793","0,89105","-4,19625"
5,Hai,20,"-2,74376","-3,78523","2,00874","7,68451","0,35226","-4,82297"
5,Hai,21,"-3,82354","-4,19704","-0,91459","7,84679","0,26966","-4,7004"
5,Hai,22,"-8,76517","-2,74854","-3,36385","7,28801","0,22276","-4,24022"
5,Hai,23,"-13,91271","0,6201","-11,43231","5,67938","0,97445","-3,30973"
5,Hai,24,"-16,16326","1,1995","-16,62055","4,18906","0,69067","-1,6915"
5,Hai,25,"-16,08664","3,64876","-17,48246","0,32508","0,13057","0,68534"
5,Hai,26,"-11,67413","2,55461","-13,67329","-4,03771","-0,44259","2,29477"
5,Hai,27,"-6,41167","-0,58179","-4,7501","-6,20991","-0,89292","3,17437"
5,Hai,28,"-3,53624","-2,81079","-2,09971","-8,27579","1,26916","3,51224"
5,Hai,29,"-2,8491","-5,03022","-1,11091","-8,41702","-0,75809","2,66516"
5,Hai,30,"-0,91219","-5,90889","8,11156","-7,90914","-2,67448","2,73897"
5,Hai,31,"0,48602","-3,56497","15,3205","-6,67835","-2,59961","3,24898"
5,Hai,32,"3,39019","-2,9712","22,79041","-5,12727","-1,63954","3,36995"
5,Hai,33,"6,10761","-1,76213","27,80147","-2,63745","-1,67312","2,71898"
5,Hai,34,"7,3502","-0,28012","26,58282","1,27023","-1,473","0,46151"
5,Hai,35,"5,85143","-1,32399","21,49754","4,0886","0,77407","-1,98888"
5,Hai,36,"1,46046","-2,92571","13,22318","5,51844","1,30913","-3,26443"
5,Hai,37,"-1,1995","-4,01029","7,42203","6,89418","0,13616","-4,18426"
